"cu","Rmeas","draw","year","alpha","beta"
"Great Central","BYO","352",NA,462.550458548606,5705057.2025707
"Great Central","BYO","353",NA,291.455659716657,5677605.68447923
"Great Central","BYO","354",NA,329.977410038514,5495441.80358593
"Great Central","BYO","355",NA,387.566612866984,5957691.46567944
"Great Central","BYO","356",NA,412.194045565171,6012267.67917727
"Great Central","BYO","357",NA,353.209453354826,5543369.55751968
"Great Central","BYO","358",NA,319.642717495973,5724202.8923849
"Great Central","BYO","359",NA,363.815595726705,5692141.38962516
"Great Central","BYO","360",NA,405.406411451986,5661272.5992348
"Great Central","BYO","361",NA,309.387639724377,5834350.86846732
"Great Central","BYO","362",NA,261.741456914335,6184454.0239257
"Great Central","BYO","363",NA,352.660021261397,5798293.07337538
"Great Central","BYO","364",NA,346.164498867984,5642386.98805473
"Great Central","BYO","365",NA,331.339455409929,5567261.12414317
"Great Central","BYO","366",NA,262.172067213823,6021266.77057765
"Great Central","BYO","367",NA,405.306378293706,5302401.13348863
"Great Central","BYO","368",NA,351.299082500294,5922470.95620007
"Great Central","BYO","369",NA,455.572078357435,5734991.60823399
"Great Central","BYO","370",NA,293.647688232319,5621957.04227843
"Great Central","BYO","371",NA,297.205143196722,5840251.26589645
"Great Central","BYO","372",NA,308.903015719845,5834671.41910828
"Great Central","BYO","373",NA,323.026569277767,5765176.04825846
"Great Central","BYO","374",NA,298.225272172119,5496891.7363501
"Great Central","BYO","375",NA,295.494877743635,5592151.54381735
"Great Central","BYO","376",NA,239.57221027866,5882782.02285205
"Great Central","BYO","377",NA,231.257540387619,6089352.31564292
"Great Central","BYO","378",NA,360.014528926019,6107035.67080342
"Great Central","BYO","379",NA,266.066328536051,6001459.2504595
"Great Central","BYO","380",NA,299.308230621762,6001741.97532176
"Great Central","BYO","381",NA,318.134572830088,5635875.56695545
"Great Central","BYO","382",NA,261.761301213359,6122062.65575729
"Great Central","BYO","383",NA,257.0745049321,5817195.58160463
"Great Central","BYO","384",NA,234.967878023595,5933811.97518001
"Great Central","BYO","385",NA,273.166324355365,5791446.6198567
"Great Central","BYO","386",NA,347.139658107864,5365594.55094909
"Great Central","BYO","387",NA,437.964484527329,5595005.04938273
"Great Central","BYO","388",NA,441.531458696138,5303082.73697087
"Great Central","BYO","389",NA,299.504964730646,5591730.6486365
"Great Central","BYO","390",NA,432.077101737295,5314045.08738356
"Great Central","BYO","391",NA,398.61354383209,5342931.8092427
"Great Central","BYO","392",NA,347.158627880525,5493332.28714514
"Great Central","BYO","393",NA,186.650946532628,6672685.3533261
"Great Central","BYO","394",NA,443.92898031138,5228539.21599442
"Great Central","BYO","395",NA,374.891019008157,5284182.43112458
"Great Central","BYO","396",NA,304.658530530073,5822718.14662499
"Great Central","BYO","397",NA,244.07419340273,6415819.19270866
"Great Central","BYO","398",NA,261.560257105577,5784851.08395599
"Great Central","BYO","399",NA,228.148316590955,5907505.47473758
"Great Central","BYO","400",NA,396.116282295703,5637110.32654868
"Great Central","BYO","401",NA,455.466443588331,5524382.03393516
"Great Central","BYO","402",NA,315.620481656967,5817098.2989624
"Great Central","BYO","403",NA,285.401434804216,6111538.10411457
"Great Central","BYO","404",NA,494.140020116413,5545455.35553746
"Great Central","BYO","405",NA,346.356824158923,5376209.89748534
"Great Central","BYO","406",NA,239.456853192636,5787225.90032757
"Great Central","BYO","407",NA,381.568044629869,5773653.40161338
"Great Central","BYO","408",NA,223.004014394223,5537900.70317521
"Great Central","BYO","409",NA,274.05320572724,5860959.63615465
"Great Central","BYO","410",NA,270.610786670961,6027927.45419304
"Great Central","BYO","411",NA,287.34452893432,5958499.39752571
"Great Central","BYO","412",NA,377.229790465652,5752460.69090996
"Great Central","BYO","413",NA,339.527517189845,5311172.67477241
"Great Central","BYO","414",NA,326.906020689331,5802480.51060955
"Great Central","BYO","415",NA,369.874519459815,5654155.80149835
"Great Central","BYO","416",NA,350.501044495642,5890930.13606504
"Great Central","BYO","417",NA,295.982147519575,5750533.69894254
"Great Central","BYO","418",NA,223.39448852303,6367221.00515119
"Great Central","BYO","419",NA,320.647624633459,5635780.77860161
"Great Central","BYO","420",NA,419.186070788633,5656044.11639559
