"stock","return_year","ttl_age","fw_age","escapement","catch","fertilized","hatchery_release","escapement_data_source","catch_data_source","age_data_source","stockid_source","brood_year"
"SPR",1986,4,3,2217.35601626658,25.7516314235503,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1982
"SPR",1986,5,2,72693.5035035163,32773.8939604241,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1981
"SPR",1986,5,3,12157.5050696231,2747.88395572216,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1981
"SPR",1986,6,3,1270.97812901384,776.640686444505,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1980
"GCL",1987,3,2,11177.0556845207,3621.26325301214,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1984
"GCL",1987,4,2,233878.135189499,61930.9777221314,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1983
"GCL",1987,4,3,1976.3102256564,1449.15179882603,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1983
"GCL",1987,5,2,7825.21407385795,3217.09970862384,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1982
"GCL",1987,5,3,30703.2927405977,7827.20852759633,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1982
"GCL",1987,6,3,5154.99208586815,4971.70112846879,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1981
"SPR",1987,3,2,43890.9886495182,37217.2154013717,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1984
"SPR",1987,4,2,78147.4628024718,97145.5310514485,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1983
"SPR",1987,4,3,2486.59169964094,4534.68294524822,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1983
"SPR",1987,5,2,19106.8973041244,14191.0954901204,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1982
"SPR",1987,5,3,5902.40634707942,17854.4471411019,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1982
"SPR",1987,6,3,2300.65319716515,422.625832050611,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1981
"GCL",1988,3,2,10795.6281567568,3339.20183042023,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1985
"GCL",1988,4,2,93585.708319927,57344.1453876577,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1984
"GCL",1988,4,3,553.806547619048,502.618958083176,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1984
"GCL",1988,5,2,52212.6823040283,61105.9056675918,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1983
