"lake","smolt_year","est","lwr_80","upr_80","cv","estimate_date","interpolated"
"Great Central",2021,1986440.32334004,886414.107676799,3963672.61293255,0.572237652179505,2021-03-01,"No"
"Sproat",2021,1339659.22325656,534718.67490395,2908059.73799061,0.65024085796651,2021-03-01,"No"
"Hucuktlis",2021,684640.331690233,227244.101312276,1641371.28522849,0.754387691116191,2021-03-01,"No"
"Great Central",2022,4444035.03430742,2469257.11259968,7390665.45913197,0.429324282059152,2022-03-01,"No"
"Sproat",2022,1831631.20200006,830377.608268084,3694022.20418347,0.580763727048345,2022-03-01,"No"
"Hucuktlis",2022,498418.967143441,189611.910835602,1128817.78540098,0.682225974195551,2022-03-01,"No"
"Great Central",2023,5000057.00333618,2801724.69126708,8217240.05296026,0.413197641252533,2023-03-01,"No"
"Sproat",2023,1343607.83577977,543958.220266907,2897423.69674247,0.628426882190642,2023-03-01,"No"
"Hucuktlis",2023,1010214.14108786,407221.302635613,2305482.56871137,0.686494684384927,2023-03-01,"No"
"Great Central",2024,3453378.89885514,1751130.65093378,6169144.07171165,0.481475234451539,2024-03-01,"No"
"Sproat",2024,1435675.85508841,563469.452988974,3136094.18301427,0.658996422861611,2024-03-01,"No"
"Hucuktlis",2024,3236521.67605288,568333.047783326,9002695.98400849,0.895394212683355,2024-03-01,"Yes"
