"year","lake","sample_days","rate_age1","rate_age2","rate_age1+","prop_age1","prop_age2","prop_age1+"
2000,"Sproat",5,106.684848484849,0.515151515151515,2.26008617312965,0.97464612183941,0.00470629553805317,0.0206475826225364
2001,"Sproat",4,252.73991382687,2.26008617312965,0.2,0.990360163898395,0.00885613704204409,0.000783699059561129
2002,"Sproat",5,46,0.2,0,0.995670995670996,0.00432900432900433,0
2003,"Sproat",1,10,0,NA,NA,NA,NA
2004,"Sproat",NA,NA,NA,NA,NA,NA,NA
2005,"Sproat",NA,NA,NA,4,NA,NA,NA
2006,"Sproat",1,83,4,NA,NA,NA,NA
2007,"Sproat",NA,NA,NA,3,NA,NA,NA
2008,"Sproat",1,32,3,10.731884057971,0.699730629060371,0.0655997464744098,0.234669624465219
2009,"Sproat",2,67.268115942029,10.731884057971,0,0.862411742846525,0.137588257153475,0
2010,"Sproat",2,6,0,3.52551020408163,0.629887520085699,0,0.370112479914301
2011,"Sproat",2,147.974489795918,3.52551020408163,0,0.97672930558362,0.0232706944163804,0
2012,"Sproat",1,24,0,7,0.774193548387097,0,0.225806451612903
2013,"Sproat",1,10,7,NA,NA,NA,NA
2014,"Sproat",NA,NA,NA,NA,NA,NA,NA
2015,"Sproat",NA,NA,NA,NA,NA,NA,NA
2016,"Sproat",NA,NA,NA,NA,NA,NA,NA
2017,"Sproat",NA,NA,NA,NA,NA,NA,NA
2018,"Sproat",NA,NA,NA,NA,NA,NA,NA
2019,"Sproat",NA,NA,NA,NA,NA,NA,NA
2020,"Sproat",NA,NA,NA,NA,NA,NA,NA
2021,"Sproat",NA,NA,NA,NA,NA,NA,NA
2022,"Sproat",NA,NA,NA,NA,NA,NA,NA
2023,"Sproat",NA,NA,NA,NA,NA,NA,NA
